id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,distance_metric,accuracy
93,hc,gaussian,5,7,,1.0,max,100.0
93,hc,gaussian,5,7,,1.0,avg,100.0
93,hc,gaussian,5,7,,1.0,mean,100.0
94,hc,gaussian,5,7,,2.0,min,86.0
94,hc,gaussian,5,7,,2.0,max,100.0
94,hc,gaussian,5,7,,2.0,avg,100.0
94,hc,gaussian,5,7,,2.0,mean,100.0
95,hc,gaussian,5,7,,2.5,min,46.0
95,hc,gaussian,5,7,,2.5,max,99.0
95,hc,gaussian,5,7,,2.5,avg,100.0
95,hc,gaussian,5,7,,2.5,mean,86.0
96,hc,gaussian,6,2,,0.5,min,100.0
96,hc,gaussian,6,2,,0.5,max,100.0
96,hc,gaussian,6,2,,0.5,avg,100.0
96,hc,gaussian,6,2,,0.5,mean,100.0
97,hc,gaussian,6,2,,1.0,min,100.0
97,hc,gaussian,6,2,,1.0,max,100.0
97,hc,gaussian,6,2,,1.0,avg,100.0
97,hc,gaussian,6,2,,1.0,mean,100.0
98,hc,gaussian,6,2,,2.0,min,100.0
98,hc,gaussian,6,2,,2.0,max,100.0
98,hc,gaussian,6,2,,2.0,avg,100.0
98,hc,gaussian,6,2,,2.0,mean,100.0
99,hc,gaussian,6,2,,2.5,min,100.0
99,hc,gaussian,6,2,,2.5,max,100.0
99,hc,gaussian,6,2,,2.5,avg,100.0
99,hc,gaussian,6,2,,2.5,mean,100.0
100,hc,gaussian,6,3,,0.5,min,100.0
100,hc,gaussian,6,3,,0.5,max,100.0
100,hc,gaussian,6,3,,0.5,avg,100.0
100,hc,gaussian,6,3,,0.5,mean,100.0
101,hc,gaussian,6,3,,1.0,min,100.0
101,hc,gaussian,6,3,,1.0,max,100.0
101,hc,gaussian,6,3,,1.0,avg,100.0
101,hc,gaussian,6,3,,1.0,mean,100.0
102,hc,gaussian,6,3,,2.0,min,100.0
102,hc,gaussian,6,3,,2.0,max,100.0
102,hc,gaussian,6,3,,2.0,avg,100.0
102,hc,gaussian,6,3,,2.0,mean,100.0
103,hc,gaussian,6,3,,2.5,min,100.0
103,hc,gaussian,6,3,,2.5,max,100.0
