id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,init_method,accuracy
78,gmm,gaussian,5,3,,2,hcm,99.7
78,gmm,gaussian,5,3,,2,uniform,99.7
78,gmm,gaussian,5,3,,2,stratified,61.3
79,gmm,gaussian,5,3,,2.5,random,55.9
79,gmm,gaussian,5,3,,2.5,kmeans++,99
79,gmm,gaussian,5,3,,2.5,hcm,99
79,gmm,gaussian,5,3,,2.5,uniform,99
79,gmm,gaussian,5,3,,2.5,stratified,58.1
80,gmm,gaussian,5,4,,0.5,random,64.1
80,gmm,gaussian,5,4,,0.5,kmeans++,100
80,gmm,gaussian,5,4,,0.5,hcm,100
80,gmm,gaussian,5,4,,0.5,uniform,100
80,gmm,gaussian,5,4,,0.5,stratified,65.2
81,gmm,gaussian,5,4,,1,random,64.1
81,gmm,gaussian,5,4,,1,kmeans++,100
81,gmm,gaussian,5,4,,1,hcm,100
81,gmm,gaussian,5,4,,1,uniform,100
81,gmm,gaussian,5,4,,1,stratified,64.4
82,gmm,gaussian,5,4,,2,random,67.1
82,gmm,gaussian,5,4,,2,kmeans++,99.6
82,gmm,gaussian,5,4,,2,hcm,99.6
82,gmm,gaussian,5,4,,2,uniform,99.6
82,gmm,gaussian,5,4,,2,stratified,62.9
83,gmm,gaussian,5,4,,2.5,random,66.7
83,gmm,gaussian,5,4,,2.5,kmeans++,98.7
83,gmm,gaussian,5,4,,2.5,hcm,98.7
83,gmm,gaussian,5,4,,2.5,uniform,98.7
83,gmm,gaussian,5,4,,2.5,stratified,68.8
84,gmm,gaussian,5,5,,0.5,random,72.1
84,gmm,gaussian,5,5,,0.5,kmeans++,100
84,gmm,gaussian,5,5,,0.5,hcm,100
84,gmm,gaussian,5,5,,0.5,uniform,100
84,gmm,gaussian,5,5,,0.5,stratified,100
85,gmm,gaussian,5,5,,1,random,72
85,gmm,gaussian,5,5,,1,kmeans++,100
85,gmm,gaussian,5,5,,1,hcm,100
85,gmm,gaussian,5,5,,1,uniform,100
85,gmm,gaussian,5,5,,1,stratified,100
86,gmm,gaussian,5,5,,2,random,72.1
86,gmm,gaussian,5,5,,2,kmeans++,73.6
86,gmm,gaussian,5,5,,2,hcm,99.8
86,gmm,gaussian,5,5,,2,uniform,99.8
86,gmm,gaussian,5,5,,2,stratified,99.8
87,gmm,gaussian,5,5,,2.5,random,71
87,gmm,gaussian,5,5,,2.5,kmeans++,98.6
87,gmm,gaussian,5,5,,2.5,hcm,98.6
87,gmm,gaussian,5,5,,2.5,uniform,98.6
87,gmm,gaussian,5,5,,2.5,stratified,98.5
88,gmm,gaussian,5,6,,0.5,random,80.2
88,gmm,gaussian,5,6,,0.5,kmeans++,100
88,gmm,gaussian,5,6,,0.5,hcm,100
88,gmm,gaussian,5,6,,0.5,uniform,100
88,gmm,gaussian,5,6,,0.5,stratified,80.2
89,gmm,gaussian,5,6,,1,random,78.4
89,gmm,gaussian,5,6,,1,kmeans++,100
89,gmm,gaussian,5,6,,1,hcm,100
89,gmm,gaussian,5,6,,1,uniform,100
89,gmm,gaussian,5,6,,1,stratified,83.5
90,gmm,gaussian,5,6,,2,random,78.8
90,gmm,gaussian,5,6,,2,kmeans++,99.9
90,gmm,gaussian,5,6,,2,hcm,99.9
90,gmm,gaussian,5,6,,2,uniform,99.9
90,gmm,gaussian,5,6,,2,stratified,99.9
91,gmm,gaussian,5,6,,2.5,random,78
91,gmm,gaussian,5,6,,2.5,kmeans++,97.7
91,gmm,gaussian,5,6,,2.5,hcm,97.7
91,gmm,gaussian,5,6,,2.5,uniform,97.7
91,gmm,gaussian,5,6,,2.5,stratified,97.7
92,gmm,gaussian,5,7,,0.5,random,100
92,gmm,gaussian,5,7,,0.5,kmeans++,100
92,gmm,gaussian,5,7,,0.5,hcm,100
92,gmm,gaussian,5,7,,0.5,uniform,100
92,gmm,gaussian,5,7,,0.5,stratified,80.8
93,gmm,gaussian,5,7,,1,random,100
93,gmm,gaussian,5,7,,1,kmeans++,100
93,gmm,gaussian,5,7,,1,hcm,100
93,gmm,gaussian,5,7,,1,uniform,100
93,gmm,gaussian,5,7,,1,stratified,80.5
94,gmm,gaussian,5,7,,2,random,99.6
94,gmm,gaussian,5,7,,2,kmeans++,78.6
94,gmm,gaussian,5,7,,2,hcm,99.6
94,gmm,gaussian,5,7,,2,uniform,99.6
94,gmm,gaussian,5,7,,2,stratified,78.6
95,gmm,gaussian,5,7,,2.5,random,98.7
95,gmm,gaussian,5,7,,2.5,kmeans++,98.7
95,gmm,gaussian,5,7,,2.5,hcm,98.7
95,gmm,gaussian,5,7,,2.5,uniform,98.7
95,gmm,gaussian,5,7,,2.5,stratified,85.8
96,gmm,gaussian,6,2,,0.5,random,100
96,gmm,gaussian,6,2,,0.5,kmeans++,100
96,gmm,gaussian,6,2,,0.5,hcm,100
96,gmm,gaussian,6,2,,0.5,uniform,100
96,gmm,gaussian,6,2,,0.5,stratified,100
97,gmm,gaussian,6,2,,1,random,100
97,gmm,gaussian,6,2,,1,kmeans++,100
97,gmm,gaussian,6,2,,1,hcm,100
97,gmm,gaussian,6,2,,1,uniform,100
97,gmm,gaussian,6,2,,1,stratified,100
98,gmm,gaussian,6,2,,2,random,100
98,gmm,gaussian,6,2,,2,kmeans++,100
98,gmm,gaussian,6,2,,2,hcm,100
98,gmm,gaussian,6,2,,2,uniform,100
98,gmm,gaussian,6,2,,2,stratified,100
99,gmm,gaussian,6,2,,2.5,random,99.9
99,gmm,gaussian,6,2,,2.5,kmeans++,99.9
99,gmm,gaussian,6,2,,2.5,hcm,99.9
99,gmm,gaussian,6,2,,2.5,uniform,99.9
99,gmm,gaussian,6,2,,2.5,stratified,99.9
100,gmm,gaussian,6,3,,0.5,random,100
100,gmm,gaussian,6,3,,0.5,kmeans++,100
100,gmm,gaussian,6,3,,0.5,hcm,100
100,gmm,gaussian,6,3,,0.5,uniform,100
100,gmm,gaussian,6,3,,0.5,stratified,100
101,gmm,gaussian,6,3,,1,random,100
101,gmm,gaussian,6,3,,1,kmeans++,100
101,gmm,gaussian,6,3,,1,hcm,100
101,gmm,gaussian,6,3,,1,uniform,100
101,gmm,gaussian,6,3,,1,stratified,100
102,gmm,gaussian,6,3,,2,random,100
102,gmm,gaussian,6,3,,2,kmeans++,100
102,gmm,gaussian,6,3,,2,hcm,100
102,gmm,gaussian,6,3,,2,uniform,100
102,gmm,gaussian,6,3,,2,stratified,100
103,gmm,gaussian,6,3,,2.5,random,99.9
103,gmm,gaussian,6,3,,2.5,kmeans++,99.9
103,gmm,gaussian,6,3,,2.5,hcm,99.9
103,gmm,gaussian,6,3,,2.5,uniform,99.9
103,gmm,gaussian,6,3,,2.5,stratified,99.9
104,gmm,gaussian,6,4,,0.5,random,64.5
104,gmm,gaussian,6,4,,0.5,kmeans++,100
104,gmm,gaussian,6,4,,0.5,hcm,100
104,gmm,gaussian,6,4,,0.5,uniform,100
104,gmm,gaussian,6,4,,0.5,stratified,69.1
105,gmm,gaussian,6,4,,1,random,64.5
105,gmm,gaussian,6,4,,1,kmeans++,100
105,gmm,gaussian,6,4,,1,hcm,100
