id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,init_method,accuracy
47,gmm,gaussian,3,4,,2.5,random,65.60000000000001
47,gmm,gaussian,3,4,,2.5,kmeans++,95.6
47,gmm,gaussian,3,4,,2.5,hcm,95.5
47,gmm,gaussian,3,4,,2.5,uniform,95.6
47,gmm,gaussian,3,4,,2.5,stratified,63.0
47,hc,gaussian,3,4,,2.5,,50.2
48,uofc,gaussian,3,5,5.0,0.5,,100.0
48,gmm,gaussian,3,5,,0.5,random,72.89999999999999
48,gmm,gaussian,3,5,,0.5,kmeans++,100.0
48,gmm,gaussian,3,5,,0.5,hcm,100.0
48,gmm,gaussian,3,5,,0.5,uniform,100.0
48,gmm,gaussian,3,5,,0.5,stratified,62.8
48,hc,gaussian,3,5,,0.5,,100.0
49,uofc,gaussian,3,5,5.0,1.0,,99.8
49,gmm,gaussian,3,5,,1.0,random,77.2
49,gmm,gaussian,3,5,,1.0,kmeans++,99.8
49,gmm,gaussian,3,5,,1.0,hcm,99.8
49,gmm,gaussian,3,5,,1.0,uniform,99.8
49,gmm,gaussian,3,5,,1.0,stratified,73.0
49,hc,gaussian,3,5,,1.0,,80.10000000000001
50,uofc,gaussian,3,5,4.0,2.0,,78.4
50,gmm,gaussian,3,5,,2.0,random,75.6
50,gmm,gaussian,3,5,,2.0,kmeans++,92.0
50,gmm,gaussian,3,5,,2.0,hcm,92.0
50,gmm,gaussian,3,5,,2.0,uniform,85.39999999999999
50,gmm,gaussian,3,5,,2.0,stratified,91.8
50,hc,gaussian,3,5,,2.0,,60.0
51,uofc,gaussian,3,5,4.0,2.5,,76.6
51,gmm,gaussian,3,5,,2.5,random,72.89999999999999
51,gmm,gaussian,3,5,,2.5,kmeans++,87.8
51,gmm,gaussian,3,5,,2.5,hcm,83.3
51,gmm,gaussian,3,5,,2.5,uniform,81.5
51,gmm,gaussian,3,5,,2.5,stratified,87.7
51,hc,gaussian,3,5,,2.5,,40.300000000000004
52,uofc,gaussian,3,6,7.0,0.5,,92.30000000000001
52,gmm,gaussian,3,6,,0.5,random,57.199999999999996
52,gmm,gaussian,3,6,,0.5,kmeans++,100.0
52,gmm,gaussian,3,6,,0.5,hcm,100.0
52,gmm,gaussian,3,6,,0.5,uniform,100.0
52,gmm,gaussian,3,6,,0.5,stratified,81.89999999999999
52,hc,gaussian,3,6,,0.5,,100.0
53,uofc,gaussian,3,6,7.0,1.0,,91.8
53,gmm,gaussian,3,6,,1.0,random,56.2
53,gmm,gaussian,3,6,,1.0,kmeans++,78.0
53,gmm,gaussian,3,6,,1.0,hcm,99.6
53,gmm,gaussian,3,6,,1.0,uniform,99.6
53,gmm,gaussian,3,6,,1.0,stratified,99.6
53,hc,gaussian,3,6,,1.0,,83.3
54,uofc,gaussian,3,6,5.0,2.0,,81.69999999999999
54,gmm,gaussian,3,6,,2.0,random,59.199999999999996
54,gmm,gaussian,3,6,,2.0,kmeans++,94.5
54,gmm,gaussian,3,6,,2.0,hcm,87.5
54,gmm,gaussian,3,6,,2.0,uniform,82.8
54,gmm,gaussian,3,6,,2.0,stratified,68.60000000000001
54,hc,gaussian,3,6,,2.0,,50.2
55,uofc,gaussian,3,6,4.0,2.5,,66.2
55,gmm,gaussian,3,6,,2.5,random,72.39999999999999
55,gmm,gaussian,3,6,,2.5,kmeans++,90.8
55,gmm,gaussian,3,6,,2.5,hcm,91.0
55,gmm,gaussian,3,6,,2.5,uniform,82.19999999999999
55,gmm,gaussian,3,6,,2.5,stratified,73.4
55,hc,gaussian,3,6,,2.5,,16.900000000000002
56,uofc,gaussian,3,7,9.0,0.5,,85.9
56,gmm,gaussian,3,7,,0.5,random,79.0
56,gmm,gaussian,3,7,,0.5,kmeans++,100.0
56,gmm,gaussian,3,7,,0.5,hcm,100.0
56,gmm,gaussian,3,7,,0.5,uniform,100.0
56,gmm,gaussian,3,7,,0.5,stratified,67.10000000000001
56,hc,gaussian,3,7,,0.5,,100.0
57,uofc,gaussian,3,7,7.0,1.0,,99.4
57,gmm,gaussian,3,7,,1.0,random,78.7
57,gmm,gaussian,3,7,,1.0,kmeans++,99.4
57,gmm,gaussian,3,7,,1.0,hcm,99.4
57,gmm,gaussian,3,7,,1.0,uniform,99.4
57,gmm,gaussian,3,7,,1.0,stratified,84.8
57,hc,gaussian,3,7,,1.0,,71.7
58,uofc,gaussian,3,7,5.0,2.0,,70.3
58,gmm,gaussian,3,7,,2.0,random,68.4
58,gmm,gaussian,3,7,,2.0,kmeans++,87.6
58,gmm,gaussian,3,7,,2.0,hcm,83.3
58,gmm,gaussian,3,7,,2.0,uniform,77.60000000000001
58,gmm,gaussian,3,7,,2.0,stratified,58.199999999999996
58,hc,gaussian,3,7,,2.0,,43.3
59,uofc,gaussian,3,7,5.0,2.5,,68.89999999999999
59,gmm,gaussian,3,7,,2.5,random,68.8
59,gmm,gaussian,3,7,,2.5,kmeans++,69.3
59,gmm,gaussian,3,7,,2.5,hcm,75.3
59,gmm,gaussian,3,7,,2.5,uniform,71.5
59,gmm,gaussian,3,7,,2.5,stratified,58.5
59,hc,gaussian,3,7,,2.5,,14.799999999999999
60,uofc,gaussian,3,8,8.0,0.5,,100.0
60,gmm,gaussian,3,8,,0.5,random,84.2
60,gmm,gaussian,3,8,,0.5,kmeans++,100.0
60,gmm,gaussian,3,8,,0.5,hcm,100.0
60,gmm,gaussian,3,8,,0.5,uniform,100.0
60,gmm,gaussian,3,8,,0.5,stratified,72.1
60,hc,gaussian,3,8,,0.5,,87.6
61,uofc,gaussian,3,8,8.0,1.0,,98.9
61,gmm,gaussian,3,8,,1.0,random,85.9
61,gmm,gaussian,3,8,,1.0,kmeans++,99.3
61,gmm,gaussian,3,8,,1.0,hcm,99.2
61,gmm,gaussian,3,8,,1.0,uniform,98.3
61,gmm,gaussian,3,8,,1.0,stratified,73.7
61,hc,gaussian,3,8,,1.0,,62.4
62,uofc,gaussian,3,8,4.0,2.0,,50.0
62,gmm,gaussian,3,8,,2.0,random,68.2
62,gmm,gaussian,3,8,,2.0,kmeans++,65.8
62,gmm,gaussian,3,8,,2.0,hcm,80.60000000000001
62,gmm,gaussian,3,8,,2.0,uniform,72.6
62,gmm,gaussian,3,8,,2.0,stratified,71.39999999999999
62,hc,gaussian,3,8,,2.0,,25.3
63,uofc,gaussian,3,8,4.0,2.5,,49.7
63,gmm,gaussian,3,8,,2.5,random,70.7
